Station,Scenario,Model,Variable,CV,Bias,NRMSE,RMSE,CV Delta From Observed,Max. Value,Max. Value Delta From Observed,A-D p-value,K-S p-value,K-S statistic sign
Ketchikan,rcp45,CCSM4,pr_total_mm,1.8,35.2,0.2,189.1,0.08,743.0,140.9,0.06,0.23,1
Ketchikan,rcp45,CCSM4,tas_mean_C,1.65,-0.7,0.1,2.5,0.15,17.4,0.1,0.07,0.04,-1
Ketchikan,rcp60,CCSM4,pr_total_mm,1.55,33.5,0.2,209.3,0.33,1007.0,-123.1,0.01,0.0,1
Ketchikan,rcp60,CCSM4,tas_mean_C,1.41,-0.3,0.1,2.7,0.09,18.5,-1.0,0.2,0.64,-1
Ketchikan,rcp85,CCSM4,pr_total_mm,1.78,42.7,0.2,184.5,0.1,879.0,4.9,0.01,0.03,1
Ketchikan,rcp85,CCSM4,tas_mean_C,1.39,0.1,0.1,2.7,0.11,18.6,-1.1,0.25,0.8,-1
Kodiak,rcp45,5ModelAvg,pr_total_mm,3.79,-2.9,0.2,84.2,1.94,291.0,130.1,0.0,0.0,-1
Kodiak,rcp45,5ModelAvg,tas_mean_C,1.12,-0.3,0.1,2.1,0.13,14.8,1.7,0.25,0.64,-1
Kodiak,rcp60,5ModelAvg,pr_total_mm,3.86,-7.0,0.2,87.0,2.01,262.0,159.1,0.0,0.0,-1
Kodiak,rcp60,5ModelAvg,tas_mean_C,1.12,-0.4,0.1,2.0,0.13,15.0,1.5,0.24,0.64,-1
Kodiak,rcp85,5ModelAvg,pr_total_mm,3.75,-6.6,0.2,84.2,1.9,275.0,146.1,0.0,0.0,-1
Kodiak,rcp85,5ModelAvg,tas_mean_C,1.2,-0.6,0.1,1.9,0.21,14.7,1.8,0.05,0.12,-1
Kodiak,rcp45,GFDL-CM3,pr_total_mm,2.53,0.9,0.2,98.2,0.68,365.0,56.1,0.0,0.01,-1
Kodiak,rcp45,GFDL-CM3,tas_mean_C,1.15,-0.9,0.1,3.1,0.16,17.1,-0.6,0.05,0.03,-1
Kodiak,rcp60,GFDL-CM3,pr_total_mm,2.69,-4.5,0.2,100.6,0.84,383.0,38.1,0.0,0.0,-1
Kodiak,rcp60,GFDL-CM3,tas_mean_C,1.16,-0.8,0.1,2.8,0.17,16.8,-0.3,0.16,0.06,-1
Kodiak,rcp85,GFDL-CM3,pr_total_mm,2.59,-6.2,0.2,97.6,0.74,364.0,57.1,0.0,0.01,-1
Kodiak,rcp85,GFDL-CM3,tas_mean_C,1.33,-1.4,0.1,2.8,0.34,17.1,-0.6,0.0,0.0,-1
